xc_1,xc_2
0.007227891805220622,0.01299744820108219
0.0068452387439961355,0.014017856364347502
0.006335034662363479,0.014910713507204635
0.005569728539914499,0.01631377473169443
0.0045493203766492005,0.01860969309904138
0.0037840142542002126,0.021160713507204637
0.0034013611929757186,0.022436223711286268
0.002891157111343077,0.02422193799700056
0.002636055070526745,0.02549744820108219
0.0023809530297104206,0.026772958405163826
0.002125850988894089,0.028431121670469947
0.0019982999684859267,0.029834182894959742
0.001743197927669595,0.0313647951398577
0.00161564690726144,0.03251275432353117
0.0014880958868532777,0.033915815548020964
0.001232993846036953,0.035191325752102605
0.0011054428256287838,0.036721937997000555
0.0011054428256287838,0.03838010126230668
0.0009778918052206213,0.039783162486796475
0.0008503407848124592,0.04233418289495974
0.000722789764404297,0.044387755102040814
0.0005952387439961274,0.04642857142857143
0.0005952387439961274,0.047704081632653064
0.0005952387439961274,0.04885204081632653
0.0004676877235879652,0.04974489795918368
