xc_1,xc_2
0.0072704081632653066,0.013137755102040813
0.006249999999999993,0.014923469387755108
0.00459183673469387,0.017346938775510207
0.0034438775510204026,0.01938775510204082
0.0019132653061224483,0.022448979591836733
0.0014030612244897993,0.024362244897959184
0.0010204081632653053,0.02614795918367347
0.0007653061224489807,0.027933673469387757
0.000510204081632649,0.0298469387755102
0.00038265306122448674,0.03176020408163265
0.0002551020408163245,0.033418367346938774
0.000127551020408155,0.035076530612244895
0,0.03660714285714286
-0.00012755102040816225,0.03826530612244899
-0.0002551020408163245,0.04119897959183674
-0.0002551020408163245,0.043494897959183675
-0.0005102040816326563,0.04642857142857143
-0.00038265306122448674,0.04885204081632653
-0.00038265306122448674,0.05
